,Normal_right_eye_origin_in_Z_axis,Normal_right_eye_origin_in_X_axis,Normal_left_eye_origin_in_Z_axis,Gaze_origin_from_world_space_in_Y_axis,Normal_right_eye_origin_in_Y_axis,Normal_left_eye_origin_in_X_axis,Gaze_origin_from_world_space_in_X_axis,Normal_left_eye_origin_in_Y_axis,Gaze_origin_from_world_space_in_Z_axis,Gaze_origin_from_local_space_in_X_axis,Right_pupil_diameter,y
7900,-28.75,-30.267,-29.426,5.935,-0.03,34.508,-0.058,-1.916,15.501,0.006,2.57,1
18347,-28.412,-29.941,-29.634,4.393,-1.86,31.157,-0.012,-1.43,0.69,0.005,2.146,2
19310,-39.193,-30.347,-41.159,1.834,6.787,34.805,17.279,7.098,-11.891,0.009,3.241,0
17423,-26.168,-32.045,-25.56,2.635,6.025,30.939,-60.042,6.459,76.466,-0.007,3.712,1
11084,-27.419,-35.831,-28.479,1.877,0.669,32.741,-50.182,0.257,47.071,0,2.823,1
5023,-24.736,-33.124,-21.396,1.951,-6.643,28.918,0.039,-7.468,-11.263,0.01,4.972,0
11012,-26.822,-34.711,-28.736,2.462,1.241,34.083,-69.424,1.116,72.628,-0.009,4.578,1
11859,-27.889,-31.052,-26.595,1.527,-2.098,31.232,-33.366,-2.007,47.844,-0.004,1.878,1
7378,-29.516,-30.653,-27.701,12.091,1.254,31.198,-33.987,0.828,182.657,-0.006,4.523,1
10864,-28.264,-32.86,-33.756,23.156,5.111,35.478,-37.049,3.691,118.925,0.007,5.538,3
3266,-25.848,-31.246,-26.183,1.87,5.524,34.04,23.138,4.878,127.886,0.002,4.146,1
9779,-29.197,-32.492,-34.692,1.811,2.457,35.816,-1.499,3.727,-35.251,-0.03,2.013,1
5228,-27.626,-35.196,-23.99,29.154,3.269,29.966,0.123,-0.05,57.376,-0.013,3.936,2
17708,-25.175,-31.896,-25.031,2.582,5.632,30.494,-53.226,6.272,75.555,-0.002,3.329,1
814,-41.411,-33.047,-36.621,1.96,9.522,30.626,-41.659,9.358,58.992,-0.017,2.436,0
6341,-27.683,-37.495,-20.64,2.154,3.843,26.521,-44.443,5.505,66.489,0.001,3.495,0
9708,-29.638,-30.758,-27.75,2.401,-4.751,31.176,-42.976,-5.669,75.453,0.003,4.359,0
9945,-27.957,-32.146,-34.502,1.888,3.404,36.047,-26.257,4.704,282.861,-0.031,2.702,0
1340,-28.902,-28.142,-29.562,1.775,-1.438,36.768,4.449,-4.153,-17.295,-0.021,4.911,0
19798,-41.084,-32.973,-41.528,1.837,6.772,32.416,2.219,6.938,-16.769,0.005,2.728,0
19298,-26.742,-31.809,-24.269,1.997,3.682,31.328,-72.102,4.309,123.931,-0.001,2.837,0
6524,-25.091,-32.524,-26.491,2.059,-2.323,32.184,197.294,-1.06,416.844,-0.007,2.734,1
3696,-34.012,-31.204,-27.721,1.837,3.224,30.296,210.794,4.101,560.497,0.016,3.435,0
6765,-25.101,-32.851,-26.659,2.057,-2.127,32.046,386.386,-0.75,335.903,-0.004,2.599,1
11380,-29.314,-36.425,-27.85,1.627,-2.427,32.131,-9.399,-3.331,-18.805,-0.015,4.493,0
14360,-38.204,-29.861,-43.116,6.824,6.939,35.124,20.747,7.844,66.722,0.008,2.767,1
2159,-48.774,-34.766,-40.654,3.92,6.876,29.696,-47.61,6.605,48.826,0.009,2.916,1
12199,-27.281,-30.993,-27.214,2.014,-0.085,32.425,-1.028,0.288,-14.018,0.001,2.859,0
10915,-27.128,-32.672,-34.839,19.828,5.299,35.616,-35.939,4.381,146.965,-0.018,5.215,3
4148,-42.888,-34.158,-38.42,2.013,5.842,30.595,101.598,6.541,376.332,0.021,2.466,1
3574,-33.082,-32.006,-27.581,1.853,2.137,29.108,-105.236,3.407,350.519,0.005,3.249,0
2803,-27.398,-26.938,-28.948,2.214,-1.757,36.619,-45.586,-3.68,65.501,0.004,2.416,1
13589,-26.424,-24.58,-33.67,2.296,0.911,36.31,-46.24,2.883,74.717,0.018,3.664,0
854,-28.504,-29.85,-30.984,2.794,-0.173,35.286,-0.12,-0.697,-6.856,0.003,4.075,0
8879,-25.596,-29.313,-29.849,3.669,-3.486,35.206,-45.214,3.289,44.73,-0.001,3.69,1
10112,-27.865,-30.379,-35.001,1.889,4.081,37.706,113.256,5.607,386.154,-0.029,1.813,0
3737,-27.004,-27.672,-28.506,2.615,-0.176,35.833,-61.237,-2.471,76.012,-0.001,2.943,1
2775,-33.226,-31.565,-28.505,1.89,2.726,30.086,565.299,4.01,227.38,0.004,3.289,0
19657,-41.476,-34.057,-40.371,1.824,7.254,31.596,0.044,7.185,-7.205,-0.001,3.174,0
16857,-23.365,-27.736,-26.731,1.866,0.898,34.78,451.38,0.502,361.486,-0.005,3.778,1
17418,-25.87,-30.259,-25.755,2.513,5.547,32.379,-57.194,6.262,72.881,-0.003,3.73,1
16040,-39.481,-33.586,-37.392,3.89,5.748,31.864,-48.034,5.157,48.383,0,2.858,0
15366,-28.363,-29.077,-32.581,1.794,4.188,32.25,-127.111,5.365,324.944,0.005,3.076,3
2014,-24.547,-29.257,-25.102,1.769,2.316,28.257,16.12,1.966,-13.149,-0.015,3.3,0
2812,-26.782,-28.111,-28.53,2.606,-1.095,35.844,-58.085,-3.132,68.514,-0.007,3.419,1
8081,-25.071,-28.797,-30.138,3.93,-3.113,35.412,-47.562,3.383,48.229,0.001,3.954,0
8443,-29.284,-29.849,-30.162,27.273,0.763,34.808,-34.294,-0.817,108.893,-0.005,3.232,1
3455,-27.209,-26.545,-29.153,2.579,-0.393,37.625,-61.433,-2.858,76.153,0.006,3.254,1
2800,-26.778,-28.23,-28.496,2.609,-1.083,35.91,-52.815,-2.917,75.865,-0.002,3.206,1
11238,-26.427,-35.025,-28.06,2.464,0.895,33.68,-26.958,0.997,70.199,-0.01,3.987,1
4439,-28.408,-34.574,-24.279,5.795,3.711,30.328,0.137,0.174,-19.388,0,4.095,2
9438,-28.915,-31.319,-26.346,2.561,-2.138,30.862,-60.385,-3.004,75.909,0.021,4.78,0
9547,-28.073,-31.535,-26.737,2.547,-3.439,30.507,-31.951,-3.862,73.799,0.023,4.313,0
5516,-23.673,-29.692,-20.765,2.404,6.288,26.249,-51.756,8.56,76.742,-0.015,3.416,1
15356,-24.25,-27.992,-25.906,1.578,0.203,34.506,15.888,-0.176,-15.451,0.004,4.019,1
16836,-23.885,-27.492,-26.579,1.87,0.918,35.157,310.681,0.135,297.238,0.001,3.002,1
7186,-30.13,-30.659,-26.156,6.959,1.366,31.298,-53.69,0.713,168.694,0.02,4.261,1
598,-40.661,-33.673,-35.897,2.46,9.533,30.269,-51.818,9.598,76.95,0,3.283,0
19758,-24.877,-27.137,-27.218,3.775,-0.87,34.039,-49.16,-1.638,45.072,0.003,3.274,1
3007,-25.473,-31.999,-25.191,1.869,5.656,33.356,376.799,4.895,373.512,-0.01,3.605,1
18958,-26.328,-33.317,-24.308,2.006,3.293,29.789,428.717,4.178,95.56,-0.013,2.778,0
18577,-22.27,-26.36,-25.652,3.878,-4.034,36.768,-47.953,-5.114,48.229,0.005,4.686,1
3247,-27.215,-27.699,-28.617,2.586,-0.356,36.56,-56.339,-2.674,76.489,0.01,3.241,1
2656,-27.026,-31.941,-26.025,1.842,3.739,33.094,480.725,3.316,171.369,0.001,3.12,1
7475,-31.358,-30.943,-28.397,48.363,0.047,30.749,-0.034,-0.506,78.382,-0.001,3.787,1
8181,-28.722,-29.677,-29.773,29.017,0.427,35.214,-0.065,-1.073,55.58,0.002,2.382,1
17082,-30.652,-29.623,-33.104,1.709,2.464,31.148,-1.009,3.639,-9.565,0,2.977,0
4831,-25.857,-32.842,-22.218,1.944,-6.298,29.279,0.063,-6.934,-11.263,0.009,5.036,0
3659,-33.049,-31.849,-27.888,1.829,1.989,29.609,93.898,3.378,517.061,0.008,3.501,0
3304,-32.674,-32.751,-27.243,1.858,2.785,28.796,160.962,4.179,248.816,0.008,3.853,0
19635,-26.53,-28.201,-28.154,3.76,-2.454,32.695,-48.897,-3.232,45.946,0.009,3.263,0
13886,-20.842,-28.935,-21.523,2.028,0.535,31.122,-51.012,2.124,63.64,0.006,2.794,0
19148,-40.435,-31.386,-41.776,2.811,6.33,33.799,-0.05,6.481,-8.945,0.008,3.489,0
17761,-40.668,-31.735,-43.916,1.968,8.474,34.012,548.098,8.123,320.322,0.008,2.285,2
3245,-25.974,-32.254,-25.236,1.588,5.568,32.906,41.444,5.112,126.011,0.019,3.055,1
11546,-29.354,-35.979,-28.594,1.608,-0.898,32.383,-19.62,-1.825,-10.066,-0.006,4.358,0
10311,-26,-32.969,-32.54,3.868,7.046,35.263,-46.25,7.029,48.424,-0.004,5.782,1
9496,-28.517,-31.535,-26.277,2.558,-2.705,30.618,-63.682,-3.491,76.812,0.021,4.779,0
2638,-25.788,-31.037,-25.649,1.658,5.305,34.201,401.042,4.836,136.077,0.013,2.487,1
10075,-27.984,-32.049,-34.626,1.902,3.686,36.148,651.332,5.157,320.718,-0.032,2.498,0
15919,-39.404,-30.524,-39.571,3.558,5.549,34.549,-44.338,5.202,44.441,-0.011,2.492,0
16240,-22.607,-28.746,-23.034,1.897,3.644,31.269,138.379,3.959,-20.077,0.003,2.96,1
9061,-27.512,-30.997,-24.556,1.649,4.464,26.062,535.822,6.881,270.706,0.003,1.847,1
12028,-27.775,-31.128,-25.653,1.93,-1.693,31.443,-41.147,-1.81,60.824,-0.001,3.617,1
13187,-27.242,-25.215,-34.973,2.318,-0.616,34.438,-59.942,1.607,71.182,0.006,3.368,0
